MiDAS Daily RMS peaks — 20260607
Total: 611 events
RMS: ch 1281-1377 (below ~300 m), bandpass 1-20 Hz
RMS stats  mean=3.8488  std=33.5392  min=1.2292  Q25=1.8993  median=2.2245  Q75=2.7605  max=830.8022
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label
----------------------------------------------------------
000  2026-06-07 08:03:48    2.1248        noise
001  2026-06-07 08:04:45    2.0582        down
002  2026-06-07 08:06:24    2.2141        noise
003  2026-06-07 08:07:11    1.9732        noise
004  2026-06-07 08:09:53    1.7746        noise
005  2026-06-07 08:12:02    1.8006        down
006  2026-06-07 08:12:33    2.7337        noise
007  2026-06-07 08:14:22    2.0104        noise
008  2026-06-07 08:15:56    2.6039        noise
009  2026-06-07 08:16:14    2.3075        noise
010  2026-06-07 08:19:52    1.4690        noise
011  2026-06-07 08:20:05    2.2867        noise
012  2026-06-07 08:23:32    2.1932        noise
013  2026-06-07 08:24:02    3.3380        noise
014  2026-06-07 08:24:15    2.2245        noise
015  2026-06-07 08:26:04    2.1332        down
016  2026-06-07 08:26:26    2.8626        noise
017  2026-06-07 08:27:46    1.7812        down
018  2026-06-07 08:29:31    2.0910        noise
019  2026-06-07 08:29:45    2.0601        noise
020  2026-06-07 08:29:58    2.0604        down
021  2026-06-07 08:33:33    2.0716        noise
022  2026-06-07 08:34:23    2.6769        noise
023  2026-06-07 08:35:54    1.7330        noise
024  2026-06-07 08:38:18    1.4964        noise
025  2026-06-07 08:40:38    1.7579        noise
026  2026-06-07 08:42:15    1.9277        noise
027  2026-06-07 08:44:03    1.6824        noise
028  2026-06-07 08:45:50    2.5589        down
029  2026-06-07 08:46:11    3.2246        down
030  2026-06-07 08:47:43    2.1153        noise
031  2026-06-07 08:48:19    2.0247        noise
032  2026-06-07 08:51:33    2.5912        noise
033  2026-06-07 08:52:29    3.4066        noise
034  2026-06-07 08:54:24    2.1778        down
035  2026-06-07 08:54:38    2.9662        noise
036  2026-06-07 08:55:33    2.1132        down
037  2026-06-07 08:59:05    2.6311        noise
038  2026-06-07 08:59:31    3.0902        noise
039  2026-06-07 09:00:21    2.9435        noise
040  2026-06-07 09:02:06    3.2511        noise
041  2026-06-07 09:03:05    3.5040        noise
042  2026-06-07 09:04:24    2.3772        noise
043  2026-06-07 09:05:05    2.4590        noise
044  2026-06-07 09:05:26    2.0127        noise
045  2026-06-07 09:06:53    1.8491        noise
046  2026-06-07 09:09:06    1.8480        noise
047  2026-06-07 09:10:07    2.6107        down
048  2026-06-07 09:10:41    3.3914        down
049  2026-06-07 09:11:29    2.3237        down
050  2026-06-07 09:17:25    1.7251        noise
051  2026-06-07 09:17:53    2.4583        down
052  2026-06-07 09:18:05    1.9315        down
053  2026-06-07 09:19:07    2.9416        down
054  2026-06-07 09:21:48    2.4109        noise
055  2026-06-07 09:22:07    2.5397        noise
056  2026-06-07 09:23:11    2.1769        noise
057  2026-06-07 09:23:28    1.9331        noise
058  2026-06-07 09:25:08    4.9261        down
059  2026-06-07 09:28:00    2.5875        down
060  2026-06-07 09:29:12    2.6333        noise
061  2026-06-07 09:30:16    1.8588        noise
062  2026-06-07 09:32:26    3.4201        noise
063  2026-06-07 09:33:18    2.8128        noise
064  2026-06-07 09:36:45    2.1535        down
065  2026-06-07 09:37:49    3.2863        noise
066  2026-06-07 09:38:05    3.0873        down
067  2026-06-07 09:40:30    1.5002        noise
068  2026-06-07 09:41:50    1.7949        down
069  2026-06-07 09:42:33    1.7909        down
070  2026-06-07 09:42:52    2.8359        noise
071  2026-06-07 09:43:06    3.5409        noise
072  2026-06-07 09:45:24    1.9880        down
073  2026-06-07 09:46:19    1.6501        noise
074  2026-06-07 09:46:38    1.9227        noise
075  2026-06-07 09:46:51    1.9175        noise
076  2026-06-07 09:49:45    3.1442        up
