MiDAS Daily RMS peaks — 20260626
Total: 670 events

[RMS_below300m 欄位說明]
  來源  : TDMS ch 1281–1377（Hole A 下行段，跳過頂部 73 ch，對應深度 ~300–700 m）
  前處理: demean → bandpass 1–20 Hz（causal sosfilt，跨檔保留 filter state）
  公式  : sqrt( sum(x[ch,t]^2) / (97 ch × 1000 samples) )
  意義  : STA/LTA 偵測峰值那一秒，97 個 channel × 1000 個取樣點的 RMS 振幅
  單位  : raw TDMS count（未轉換為物理應變量）
  參考值: 典型背景 ~0.5–2，大地震 > 8

RMS stats  mean=2.5909  std=0.6931  min=1.2633  Q25=2.0744  median=2.5401  Q75=3.0141  max=8.4300
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label  CWA
------------------------------------------------------------------
000  2026-06-26 08:04:29    1.8256        noise       0
001  2026-06-26 08:07:00    1.9290        noise       0
002  2026-06-26 08:07:45    2.6198        noise       0
003  2026-06-26 08:08:17    2.5225        noise       0
004  2026-06-26 08:09:30    2.3702        noise       0
005  2026-06-26 08:09:46    3.2934        noise       0
006  2026-06-26 08:10:52    2.7507        noise       0
007  2026-06-26 08:11:37    2.7507        noise       0
008  2026-06-26 08:12:26    3.1292        noise       0
009  2026-06-26 08:15:15    1.9462        noise       0
010  2026-06-26 08:16:17    1.9715        noise       0
011  2026-06-26 08:16:30    2.0124        noise       0
012  2026-06-26 08:17:03    3.2301        noise       0
013  2026-06-26 08:17:34    2.1393        noise       0
014  2026-06-26 08:19:57    2.5158        noise       0
015  2026-06-26 08:20:30    2.6265        noise       0
016  2026-06-26 08:21:49    1.9619        noise       0
017  2026-06-26 08:23:18    3.3239        noise       0
018  2026-06-26 08:26:44    2.3523        noise       0
019  2026-06-26 08:28:24    2.1463        down        0
020  2026-06-26 08:28:37    2.9350        noise       0
021  2026-06-26 08:29:11    3.7579        noise       0
022  2026-06-26 08:29:37    1.8961        noise       0
023  2026-06-26 08:32:26    2.6123        noise       0
024  2026-06-26 08:33:54    1.9765        noise       0
025  2026-06-26 08:34:36    3.0445        noise       0
026  2026-06-26 08:36:45    2.4020        noise       0
027  2026-06-26 08:39:54    2.7138        noise       0
028  2026-06-26 08:42:23    3.2758        noise       0
029  2026-06-26 08:44:33    4.0122        noise       0
030  2026-06-26 08:45:39    2.6664        noise       0
031  2026-06-26 08:45:51    3.6158        noise       0
032  2026-06-26 08:48:29    2.9248        noise       0
033  2026-06-26 08:49:12    2.8517        noise       0
034  2026-06-26 08:50:17    2.4438        noise       0
035  2026-06-26 08:50:55    3.0176        noise       0
036  2026-06-26 08:51:07    2.4800        noise       0
037  2026-06-26 08:51:28    3.9962        noise       0
038  2026-06-26 08:52:56    2.4459        noise       0
039  2026-06-26 08:56:22    3.9610        noise       0
040  2026-06-26 08:57:08    2.4879        noise       0
041  2026-06-26 09:01:04    2.9517        noise       0
042  2026-06-26 09:02:04    2.4179        noise       0
043  2026-06-26 09:02:17    2.8336        noise       0
044  2026-06-26 09:03:10    2.7734        noise       0
045  2026-06-26 09:03:23    2.6367        noise       0
046  2026-06-26 09:03:47    2.8778        noise       0
047  2026-06-26 09:06:40    3.1192        noise       0
048  2026-06-26 09:07:14    3.2952        noise       0
049  2026-06-26 09:13:20    3.9329        noise       0
050  2026-06-26 09:15:18    2.0906        down        0
051  2026-06-26 09:16:55    3.2842        noise       0
052  2026-06-26 09:18:17    3.3627        noise       0
053  2026-06-26 09:19:25    2.6927        noise       0
054  2026-06-26 09:19:41    3.4156        noise       0
055  2026-06-26 09:22:51    2.5818        noise       0
056  2026-06-26 09:26:17    3.3122        noise       0
057  2026-06-26 09:26:56    2.1790        noise       0
058  2026-06-26 09:27:21    2.7499        noise       0
059  2026-06-26 09:27:34    3.1033        noise       0
060  2026-06-26 09:28:25    3.3110        noise       0
061  2026-06-26 09:29:32    2.8441        noise       0
062  2026-06-26 09:33:13    3.5068        noise       0
063  2026-06-26 09:33:49    2.4786        down        0
064  2026-06-26 09:35:05    2.8504        noise       0
065  2026-06-26 09:35:46    3.6929        noise       0
066  2026-06-26 09:36:45    2.7050        noise       0
067  2026-06-26 09:40:01    3.2866        noise       0
068  2026-06-26 09:40:22    3.4102        noise       0
069  2026-06-26 09:41:32    4.0258        noise       0
070  2026-06-26 09:41:47    2.3679        noise       0
071  2026-06-26 09:42:02    3.9486        noise       0
072  2026-06-26 09:42:57    2.0262        noise       0
073  2026-06-26 09:45:02    2.4579        noise       0
074  2026-06-26 09:47:15    2.1721        noise       0
075  2026-06-26 09:49:33    2.5645        noise       0
076  2026-06-26 09:51:58    3.3375        noise       0
077  2026-06-26 09:53:28    2.5187        noise       0
078  2026-06-26 09:53:41    3.1116        noise       0
079  2026-06-26 09:54:10    3.5351        noise       0
080  2026-06-26 09:54:23    2.7846        noise       0
081  2026-06-26 09:56:09    2.8264        noise       0
082  2026-06-26 09:57:04    2.3702        noise       0
083  2026-06-26 09:57:17    2.7840        noise       0
084  2026-06-26 09:58:46    2.7375        noise       0
085  2026-06-26 10:01:13    2.7878        noise       0
086  2026-06-26 10:01:54    2.6314        noise       0
087  2026-06-26 10:02:06    3.4843        noise       0
088  2026-06-26 10:03:35    2.6579        noise       0
089  2026-06-26 10:03:57    2.1560        noise       0
090  2026-06-26 10:04:10    2.0860        noise       0
091  2026-06-26 10:04:34    2.4603        noise       0
092  2026-06-26 10:05:44    2.9634        noise       0
093  2026-06-26 10:05:57    3.4206        noise       0
